umbrella,n.,雨伞
please,int.,请
here,adv.,这里
my,pron.,我的
ticket,n.,票
number,n.,号码；数字
five,n.,五
sorry,int.,对不起
sir,n.,先生
cloakroom,n.,衣帽间；行李寄存处
suit,n.,西装；套装
school,n.,学校
teacher,n.,老师
son,n.,儿子
daughter,n.,女儿
Miss,n.,小姐
new,adj.,新的
student,n.,学生
French,adj.,法国的
French,n.,法语
German,adj.,德国的
German,n.,德语
nice,adj.,好的；不错的
meet,v.,遇见；见面
Japanese,adj.,日本的
Japanese,n.,日语
Korean,adj.,韩国的
Korean,n.,韩语
Chinese,adj.,中国的
Chinese,n.,中文
too,adv.,也；太
make,n.,品牌；型号
make,v.,制造；做
Swedish,adj.,瑞典的
Swedish,n.,瑞典语
English,adj.,英国的；英语的
English,n.,英语
American,adj.,美国的
American,n.,美国人
Italian,adj.,意大利的
Italian,n.,意大利语
Volvo,n.,沃尔沃
Peugeot,n.,标致
Mercedes,n.,奔驰
Toyota,n.,丰田
Daewoo,n.,大宇
Mini,n.,迷你
Ford,n.,福特
Fiat,n.,菲亚特
I,pron.,我
am,v.,是
are,v.,是
name,n.,名字
what,pron.,什么
nationality,n.,国籍
job,n.,工作；职业
engineer,n.,工程师
policeman,n.,警察
policewoman,n.,女警
taxi driver,n.,出租车司机；的士司机
air hostess,n.,空姐
postman,n.,邮递员；邮差
nurse,n.,护士
mechanic,n.,技工；维修师傅
hairdresser,n.,发型师
housewife,n.,家庭主妇
milkman,n.,送奶工
hello,int.,你好
hi,int.,嗨
how,adv.,怎样；如何
today,n.,今天
well,adj.,健康的
well,adv.,好地
fine,adj.,好的；不错的
thanks,int.,谢谢
goodbye,int.,再见
see,v.,看见
fat,adj.,胖的
woman,n.,女人
thin,adj.,瘦的
tall,adj.,高的
short,adj.,矮的；短的
dirty,adj.,脏的
clean,adj.,干净的
clean,v.,打扫
hot,adj.,热的
cold,adj.,冷的
old,adj.,老的；旧的
young,adj.,年轻的
busy,adj.,忙的
lazy,adj.,懒的
whose,pron.,谁的
blue,adj.,蓝色的
perhaps,adv.,也许；可能
white,adj.,白色的
catch,v.,抓住；赶上
father,n.,父亲；爸爸
mother,n.,母亲；妈妈
blouse,n.,女士衬衫
sister,n.,姐妹
tie,n.,领带
tie,v.,绑；系
brother,n.,兄弟
his,pron.,他的
her,pron.,她的
colour,n.,颜色
green,adj.,绿色的
come,v.,来
upstairs,adv.,楼上
smart,adj.,聪明的；时髦的
hat,n.,帽子
same,adj.,相同的
lovely,adj.,可爱的；漂亮的
case,n.,箱子；情况；案例
carpet,n.,地毯
dog,n.,狗
customs,n.,海关
officer,n.,官员；警官
girl,n.,女孩
Danish,adj.,丹麦的
friend,n.,朋友
Norwegian,adj.,挪威的
passport,n.,护照
brown,adj.,棕色的；褐色的
tourist,n.,游客
Russian,adj.,俄罗斯的
Russian,n.,俄语
Dutch,adj.,荷兰的
these,pron.,这些
red,adj.,红色的
grey,adj.,灰色的
yellow,adj.,黄色的
black,adj.,黑色的
orange,n.,橙子
orange,adj.,橙色的
employee,n.,员工
hard-working,adj.,勤奋的；努力工作的
sales rep,n.,销售代表
man,n.,男人
office,n.,办公室
assistant,n.,助理；助手
matter,n.,事情；问题
matter,v.,要紧
children,n.,孩子们
tired,adj.,累的；疲劳的
boy,n.,男孩
thirsty,adj.,口渴的
Mum,n.,妈妈
sit down,v.,坐下
right,adj.,对的；右边的
right,n.,权利
ice cream,n.,冰淇淋；雪糕
big,adj.,大的
small,adj.,小的
open,v.,打开
open,adj.,开着的
shut,v.,关闭
shut,adj.,关着的
light,n.,灯；光
light,adj.,轻的；浅色的
heavy,adj.,重的
long,adj.,长的
shoe,n.,鞋
grandfather,n.,祖父；外祖父
grandmother,n.,祖母；外祖母
give,v.,给
one,n.,一个
which,pron.,哪个
empty,adj.,空的
full,adj.,满的
large,adj.,大的
little,adj.,小的；少量的
sharp,adj.,锋利的；尖的
blunt,adj.,钝的
box,n.,盒子；箱子
glass,n.,玻璃杯；玻璃
cup,n.,杯子
bottle,n.,瓶子
tin,n.,罐头
knife,n.,刀
fork,n.,叉
spoon,n.,勺子；汤匙
on,prep.,在…上面
shelf,n.,架子
desk,n.,书桌
table,n.,桌子
plate,n.,盘子
cupboard,n.,橱柜
cigarette,n.,香烟
television,n.,电视
floor,n.,地板；楼层
dressing table,n.,梳妆台
magazine,n.,杂志
bed,n.,床
newspaper,n.,报纸
stereo,n.,音响
kitchen,n.,厨房
refrigerator,n.,冰箱
right,adv.,右边
electric,adj.,电的
left,n.,左边
left,adj.,左边的
cooker,n.,炉灶
middle,n.,中间
of,prep.,…的
room,n.,房间
where,adv.,在哪里
in,prep.,在…里面
living room,n.,客厅
near,prep.,在…附近
window,n.,窗户
armchair,n.,扶手椅
door,n.,门
picture,n.,图片；照片；画
wall,n.,墙
trousers,n.,裤子
bedroom,n.,卧室；睡房
untidy,adj.,不整洁的；乱的
must,v.,必须
air,n.,空气
air,v.,通风
put,v.,放
clothes,n.,衣服
wardrobe,n.,衣柜
dust,n.,灰尘
dust,v.,除尘
sweep,v.,扫
empty,v.,倒空
read,v.,阅读；读
sharpen,v.,削尖
put on,v.,穿上
take off,v.,脱下；起飞
turn on,v.,打开(电器)
turn off,v.,关闭(电器)
garden,n.,花园
under,prep.,在…下面
tree,n.,树
climb,v.,爬
who,pron.,谁
run,v.,跑
grass,n.,草
after,prep.,在…之后
across,prep.,穿过
cat,n.,猫
type,v.,打字
type,n.,类型
letter,n.,信；字母
basket,n.,篮子
eat,v.,吃
bone,n.,骨头
tooth,n.,牙齿
cook,v.,烹饪；做饭
cook,n.,厨师
milk,n.,牛奶
meal,n.,一餐；饭
drink,v.,喝
drink,n.,饮料
tap,n.,水龙头
day,n.,天；白天
cloud,n.,云
sky,n.,天空
sun,n.,太阳
shine,v.,照耀；发光
with,prep.,和…一起；带有
family,n.,家庭；家人
walk,v.,走路；散步
over,prep.,在…上方；越过
bridge,n.,桥
boat,n.,小船
river,n.,河流
ship,n.,轮船；大船
aeroplane,n.,飞机
fly,v.,飞
sleep,v.,睡觉
shave,v.,刮胡子
cry,v.,哭
wash,v.,洗
wait,v.,等待
jump,v.,跳
photograph,n.,照片
village,n.,村庄
valley,n.,山谷
between,prep.,在…之间
hill,n.,小山
another,pron.,另一个
wife,n.,妻子；老婆
along,prep.,沿着
bank,n.,银行；河岸
water,n.,水
swim,v.,游泳
building,n.,建筑物
park,n.,公园
park,v.,停车
into,prep.,进入
beside,prep.,在…旁边
off,prep.,离开
off,adv.,关掉
work,v.,工作
work,n.,工作
hard,adv.,努力地
hard,adj.,困难的；硬的
bookcase,n.,书柜
hammer,n.,锤子
paint,v.,油漆；画画
paint,n.,油漆；颜料
pink,adj.,粉红色的
favourite,adj.,最喜欢的
homework,n.,家庭作业；功课
listen,v.,听
dish,n.,盘子；菜肴
front,n.,前面
in front of,prep.,在…前面
careful,adj.,小心的；仔细的
vase,n.,花瓶
drop,v.,掉落；滴下
flower,n.,花
show,v.,展示；给…看
show,n.,表演；节目
send,v.,发送；寄
take,v.,拿；带走
cheese,n.,奶酪；芝士
bread,n.,面包
soap,n.,肥皂
chocolate,n.,巧克力
sugar,n.,糖
coffee,n.,咖啡
tea,n.,茶
tobacco,n.,烟草
bird,n.,鸟
any,pron.,任何一个
some,pron.,一些
kettle,n.,水壶
behind,prep.,在…后面
teapot,n.,茶壶
now,adv.,现在
find,v.,找到
boil,v.,煮沸
can,v.,可以；会
can,n.,罐头
boss,n.,老板
minute,n.,分钟
ask,v.,问
handwriting,n.,字迹；书法
terrible,adj.,糟糕的；可怕的
lift,v.,举起；提起
lift,n.,电梯
cake,n.,蛋糕
biscuit,n.,饼干
like,v.,喜欢
like,prep.,像
want,v.,想要
fresh,adj.,新鲜的
egg,n.,蛋
butter,n.,黄油；牛油
pure,adj.,纯的
honey,n.,蜂蜜
ripe,adj.,成熟的
banana,n.,香蕉
jam,n.,果酱
sweet,adj.,甜的
Scotch whisky,n.,苏格兰威士忌
choice,n.,选择
apple,n.,苹果
wine,n.,葡萄酒；酒
beer,n.,啤酒
blackboard,n.,黑板
butcher,n.,肉贩；屠夫
meat,n.,肉
beef,n.,牛肉
lamb,n.,羊羔肉
husband,n.,丈夫；老公
steak,n.,牛排
mince,n.,肉末；肉馅
chicken,n.,鸡肉；鸡
tell,v.,告诉
truth,n.,真相；事实
either,adv.,也(不)
either,conj.,要么
tomato,n.,番茄；西红柿
potato,n.,土豆；马铃薯
cabbage,n.,卷心菜；包菜
lettuce,n.,生菜
pea,n.,豌豆
bean,n.,豆
pear,n.,梨
grape,n.,葡萄
peach,n.,桃子
Greece,n.,希腊
climate,n.,气候
country,n.,国家；乡下
pleasant,adj.,令人愉快的；舒适的
weather,n.,天气
spring,n.,春天
windy,adj.,大风的
warm,adj.,温暖的
rain,n.,雨
rain,v.,下雨
sometimes,adv.,有时
summer,n.,夏天
autumn,n.,秋天
winter,n.,冬天
snow,n.,雪
snow,v.,下雪
January,n.,一月
February,n.,二月
March,n.,三月
April,n.,四月
May,n.,五月
June,n.,六月
July,n.,七月
August,n.,八月
September,n.,九月
October,n.,十月
November,n.,十一月
December,n.,十二月
Brazil,n.,巴西
Holland,n.,荷兰
England,n.,英国；英格兰
France,n.,法国
Germany,n.,德国
Italy,n.,意大利
Norway,n.,挪威
Russia,n.,俄罗斯
Spain,n.,西班牙
Sweden,n.,瑞典
mild,adj.,温和的
always,adv.,总是
north,n.,北方
east,n.,东方
wet,adj.,湿的
west,n.,西方
south,n.,南方
season,n.,季节
best,adj.,最好的
night,n.,夜晚
rise,v.,升起
early,adv.,早
early,adj.,早的
set,v.,落下(太阳)；设置
late,adv.,晚；迟
late,adj.,晚的；迟的
interesting,adj.,有趣的
subject,n.,主题；科目
conversation,n.,对话；交谈
Australia,n.,澳大利亚
Australian,adj.,澳大利亚的
Australian,n.,澳大利亚人
Austria,n.,奥地利
Austrian,adj.,奥地利的
Austrian,n.,奥地利人
Canada,n.,加拿大
Canadian,adj.,加拿大的
Canadian,n.,加拿大人
China,n.,中国
Finland,n.,芬兰
Finnish,adj.,芬兰的
Finnish,n.,芬兰语
India,n.,印度
Indian,adj.,印度的
Indian,n.,印度人
Japan,n.,日本
Nigeria,n.,尼日利亚
Nigerian,adj.,尼日利亚的
Nigerian,n.,尼日利亚人
Turkey,n.,土耳其
Turkish,adj.,土耳其的
Turkish,n.,土耳其人
Korea,n.,韩国；朝鲜
Polish,adj.,波兰的
Polish,n.,波兰语
Poland,n.,波兰
Thai,adj.,泰国的
Thai,n.,泰语
Thailand,n.,泰国
live,v.,居住；生活
stay,v.,停留；待在
home,n.,家
housework,n.,家务
lunch,n.,午餐
afternoon,n.,下午
usually,adv.,通常
together,adv.,一起
evening,n.,晚上；傍晚
arrive,v.,到达
o'clock,adv.,…点钟
shop,n.,商店
shop,v.,购物
moment,n.,片刻；时刻
envelope,n.,信封
writing paper,n.,信纸
shop assistant,n.,店员
size,n.,尺寸；尺码
pad,n.,便签本；垫子
glue,n.,胶水
chalk,n.,粉笔
change,n.,零钱；变化
change,v.,改变；换
feel,v.,感觉
look,v.,看
call,v.,打电话；呼叫
doctor,n.,医生
telephone,n.,电话
remember,v.,记得
mouth,n.,嘴
tongue,n.,舌头
bad,adj.,坏的；差的
cold,n.,感冒
news,n.,新闻；消息
headache,n.,头痛
aspirin,n.,阿司匹林
earache,n.,耳痛
toothache,n.,牙痛
dentist,n.,牙医
stomach ache,n.,胃痛；肚子痛
medicine,n.,药
temperature,n.,温度；体温
flu,n.,流感
measles,n.,麻疹
mumps,n.,腮腺炎
better,adj.,更好的
certainly,adv.,当然；肯定地
get up,v.,起床
yet,adv.,还；尚未
rich,adj.,富有的
food,n.,食物
remain,v.,保持；留下
play,v.,玩；比赛
match,n.,比赛；火柴
talk,v.,说话；交谈
library,n.,图书馆
drive,v.,驾驶
so,adv.,如此；所以
quickly,adv.,快速地
lean out of,v.,探身出去
break,v.,打破
noise,n.,噪音
Dad,n.,爸爸
key,n.,钥匙
baby,n.,婴儿
hear,v.,听到
enjoy,v.,享受；喜欢
yourself,pron.,你自己
ourselves,pron.,我们自己
myself,pron.,我自己
themselves,pron.,他们自己
himself,pron.,他自己
herself,pron.,她自己
greengrocer,n.,蔬果商
absent,adj.,缺席的
Monday,n.,星期一
Tuesday,n.,星期二
Wednesday,n.,星期三
Thursday,n.,星期四
keep,v.,保持；保存
spend,v.,花费(时间/金钱)
weekend,n.,周末
Friday,n.,星期五
Saturday,n.,星期六
Sunday,n.,星期天
lucky,adj.,幸运的
church,n.,教堂
dairy,n.,乳品店
baker,n.,面包师
grocer,n.,食品杂货商
year,n.,年
race,n.,比赛；种族
town,n.,城镇
crowd,n.,人群
stand,v.,站立
stand,n.,看台
exciting,adj.,令人兴奋的
just,adv.,刚刚；只是
finish,v.,完成
winner,n.,获胜者
way,n.,方式；道路
stationer,n.,文具商
Denmark,n.,丹麦
awful,adj.,糟糕的；可怕的
time,n.,时间；次数
answer,v.,回答
answer,n.,答案
last,adj.,最后的；上一个
last,v.,持续
phone,n.,电话
phone,v.,打电话
again,adv.,再次；又
say,v.,说
week,n.,星期；周
London,n.,伦敦
suddenly,adv.,突然
bus stop,n.,巴士站
smile,v.,微笑
smile,n.,微笑
pleasantly,adv.,愉快地
understand,v.,理解；明白
speak,v.,说；讲
hand,n.,手
pocket,n.,口袋
phrasebook,n.,短语手册；常用语手册
phrase,n.,短语；词组
slowly,adv.,慢慢地
hurriedly,adv.,匆忙地
cut,v.,切；剪
thirstily,adv.,口渴地
go,v.,去
greet,v.,问候；打招呼
ago,adv.,…以前
buy,v.,买
pair,n.,一双；一对
fashion,n.,时尚
uncomfortable,adj.,不舒服的
wear,v.,穿；戴
appointment,n.,预约；约会
urgent,adj.,紧急的
till,prep.,直到
shopping,n.,购物
list,n.,清单；列表
vegetable,n.,蔬菜
need,v.,需要
hope,v.,希望
hope,n.,希望
thing,n.,东西；事情
money,n.,钱
groceries,n.,食品杂货
fruit,n.,水果
stationery,n.,文具
newsagent,n.,报刊亭；报贩
chemist,n.,药剂师；药店
bath,n.,洗澡；浴缸
nearly,adv.,几乎；差不多
ready,adj.,准备好的
dinner,n.,晚餐
restaurant,n.,餐厅；餐馆
roast,v.,烤
roast,adj.,烤的
breakfast,n.,早餐
haircut,n.,理发
party,n.,派对；聚会
holiday,n.,假期
mess,n.,混乱；脏乱
pack,v.,打包
suitcase,n.,手提箱；行李箱
leave,v.,离开；留下
already,adv.,已经
Paris,n.,巴黎
cinema,n.,电影院
film,n.,电影
beautiful,adj.,美丽的
city,n.,城市
never,adv.,从不
ever,adv.,曾经
attendant,n.,服务员；侍者
bring,v.,带来
garage,n.,车库；汽车修理厂
crash,v.,碰撞；坠毁
crash,n.,碰撞事故
lamp-post,n.,灯柱
repair,v.,修理
repair,n.,修理
try,v.,尝试
believe,v.,相信
may,v.,可以；可能
since,prep.,自从
why,adv.,为什么
sell,v.,卖
because,conj.,因为
retire,v.,退休
cost,v.,花费；成本为
cost,n.,成本；价格
pound,n.,英镑；磅
worth,adj.,值得
penny,n.,便士；分
still,adv.,仍然；还
move,v.,移动；搬家
miss,v.,想念；错过
neighbour,n.,邻居
person,n.,人
people,n.,人们
poor,adj.,贫穷的；可怜的
pilot,n.,飞行员
return,v.,返回；归还
New York,n.,纽约
Tokyo,n.,东京
Madrid,n.,马德里
Athens,n.,雅典
Berlin,n.,柏林
Bombay,n.,孟买
Geneva,n.,日内瓦
Moscow,n.,莫斯科
Rome,n.,罗马
Seoul,n.,首尔
Stockholm,n.,斯德哥尔摩
Sydney,n.,悉尼
return,n.,返回；回程
train,n.,火车
platform,n.,站台；月台
plenty,n.,大量；充足
bar,n.,酒吧
station,n.,车站；站
porter,n.,行李员
catch,v.,赶上；抓住
miss,v.,错过；想念
describe,v.,描述
zip,n.,拉链
label,n.,标签
handle,n.,把手
handle,v.,处理
address,n.,地址
pence,n.,便士(复数)
belong,v.,属于
ow,int.,哎哟
slip,v.,滑倒
fall,v.,跌倒
downstairs,adv.,楼下
hurt,v.,弄伤；疼痛
back,n.,背部
back,adv.,向后
stand up,v.,站起来
help,v.,帮助
help,n.,帮助
sure,adj.,确信的
X-ray,n.,X光
licence,n.,执照；许可证
Scotland,n.,苏格兰
card,n.,卡片
youth,n.,青年
hostel,n.,旅社
association,n.,协会
soon,adv.,很快
write,v.,写
exam,n.,考试
pass,v.,通过；及格
mathematics,n.,数学
question,n.,问题
easy,adj.,容易的
enough,adv.,足够地
enough,adj.,足够的
paper,n.,纸；试卷
fail,v.,失败；不及格
mark,n.,分数；标记
mark,v.,标记
rest,n.,休息；剩余部分
rest,v.,休息
difficult,adj.,困难的
hate,v.,讨厌；憎恨
low,adj.,低的
cheer,v.,欢呼；加油
guy,n.,家伙；男人
top,n.,顶部
top,adj.,顶级的
clever,adj.,聪明的
stupid,adj.,笨的
cheap,adj.,便宜的
expensive,adj.,昂贵的
stale,adj.,不新鲜的
loud,adj.,大声的
high,adj.,高的
soft,adj.,软的
sour,adj.,酸的
spell,v.,拼写
intelligent,adj.,聪明的；有才智的
mistake,n.,错误
present,n.,礼物；现在
present,adj.,出席的
present,v.,呈现；授予
dictionary,n.,词典；字典
carry,v.,携带；搬运
correct,adj.,正确的
correct,v.,改正
madam,n.,女士；夫人
pretty,adj.,漂亮的
idea,n.,主意；想法
teaspoonful,n.,一茶匙的量
less,adv.,更少
pity,n.,遗憾；可惜
instead,adv.,反而；代替
advice,n.,建议
most,adv.,最
least,adv.,最少
worse,adj.,更差的
worst,adj.,最差的
model,n.,模型；模特
afford,v.,负担得起
deposit,n.,押金；定金
instalment,n.,分期付款
price,n.,价格
millionaire,n.,百万富翁
conductor,n.,售票员；指挥
fare,n.,票价；车费
change,n.,零钱
note,n.,纸币；笔记
passenger,n.,乘客
none,pron.,没有一个
neither,pron.,两者都不
get off,v.,下车
tramp,n.,流浪汉
except,prep.,除了
anyone,pron.,任何人
knock,v.,敲
everything,pron.,每件事；所有东西
quiet,adj.,安静的
impossible,adj.,不可能的
invite,v.,邀请
anything,pron.,任何东西；任何事
nothing,pron.,没有东西；没事
lemonade,n.,柠檬水
joke,n.,笑话
asleep,adj.,睡着的
glasses,n.,眼镜
dining room,n.,饭厅
coin,n.,硬币
swallow,v.,吞咽
later,adv.,稍后
toilet,n.,厕所；洗手间
ring,v.,按铃；打电话
ring,n.,戒指
story,n.,故事
happen,v.,发生
thief,n.,小偷
enter,v.,进入
dark,adj.,黑暗的
torch,n.,手电筒
voice,n.,声音
parrot,n.,鹦鹉
exercise book,n.,练习本
customer,n.,顾客
forget,v.,忘记
manager,n.,经理
serve,v.,服务；招待
counter,n.,柜台
recognize,v.,认出
road,n.,路
during,prep.,在…期间
trip,n.,旅行
travel,v.,旅行
offer,v.,提供
offer,n.,提议
job,n.,工作
guess,v.,猜
grow,v.,生长；种植
beard,n.,胡须
kitten,n.,小猫
water,v.,浇水
terribly,adv.,非常；糟糕地
dry,adj.,干的
nuisance,n.,麻烦事；讨厌的人
mean,v.,意思是
mean,adj.,刻薄的
surprise,n.,惊喜；惊讶
surprise,v.,使惊讶
immediately,adv.,立刻；马上
famous,adj.,著名的
actress,n.,女演员
actor,n.,男演员
read,v.,阅读
wave,v.,挥手
wave,n.,波浪
track,n.,轨道；跑道
mile,n.,英里
overtake,v.,超车
speed limit,n.,速度限制
dream,n.,梦
dream,v.,做梦
sign,n.,标志；信号
sign,v.,签名
driving,n.,驾驶
charge,v.,收费；充电
charge,n.,费用
darling,n.,亲爱的
Egypt,n.,埃及
abroad,adv.,在国外
worry,v.,担心
reporter,n.,记者
sensational,adj.,轰动的；耸人听闻的
mink coat,n.,貂皮大衣
future,n.,未来
get married,v.,结婚
hotel,n.,酒店；旅馆
latest,adj.,最新的
introduce,v.,介绍
football,n.,足球
pool,n.,赌注；水池
win,v.,赢
world,n.,世界
depend,v.,依靠；取决于
extra,adj.,额外的
overseas,adv.,海外
overseas,adj.,海外的
engineering,n.,工程学
company,n.,公司
line,n.,线路；航线；排队
excited,adj.,兴奋的
get on,v.,上车
middle-aged,adj.,中年的
opposite,prep.,在…对面
opposite,adj.,相反的
curiously,adv.,好奇地
funny,adj.,有趣的；好笑的
powder,n.,粉末
compact,n.,粉饼盒
compact,adj.,紧凑的
kindly,adv.,和蔼地；亲切地
ugly,adj.,丑的
amused,adj.,被逗乐的；觉得好笑的
embarrassed,adj.,尴尬的
worried,adj.,担心的
regularly,adv.,定期地；经常
surround,v.,包围
wood,n.,树林；木头
beauty spot,n.,风景点
hundred,n.,百
through,prep.,穿过
visitor,n.,游客；访客
tidy,adj.,整洁的
tidy,v.,收拾
litter,n.,垃圾
litter,v.,乱扔垃圾
litter basket,n.,垃圾桶
place,n.,地方
place,v.,放置
throw,v.,扔；抛
rubbish,n.,垃圾
count,v.,数数
cover,v.,覆盖
cover,n.,盖子；封面
piece,n.,一块；一片
tyre,n.,轮胎
rusty,adj.,生锈的
among,prep.,在…之中
prosecute,v.,起诉；检举
play,n.,戏剧；话剧
play,v.,玩；播放
ring,n.,戒指；铃声
call,n.,电话；呼叫
pool,n.,水池；游泳池
key,n.,钥匙；琴键
bank,n.,银行
ticket,n.,票；罚单
note,n.,笔记；纸币
dream,n.,梦；梦想
paint,v.,画画；油漆
most,pron.,大多数
train,v.,训练
spring,n.,春天；弹簧
sweep,v.,扫；席卷
sign,n.,标志
present,n.,礼物
tap,v.,轻敲
ring,n.,场地；圈
charge,v.,冲向；收费
present,v.,赠送；呈现
mark,n.,标记
plate,n.,盘子；金属板
march,v.,行军；前进
sharp,adj.,锋利的；敏锐的
truth,n.,真相
slip,v.,滑倒；纸条
present,v.,呈现
track,v.,追踪
present,v.,赠送
pass,n.,通行证
pass,v.,通过
tie,n.,领带；平局
run,v.,跑；经营
fat,n.,脂肪
find,n.,发现物
piece,n.,一块；一件
litter,v.,乱扔
tramp,v.,跋涉
overtake,v.,超过
spell,n.,一段时间
lift,v.,举起
leave,n.,假期；许可
mean,n.,平均值；方法
Indian,n.,印第安人
like,n.,同类事物
slip,n.,滑动；失误
list,v.,(船)倾斜
ring,n.,环
keep,n.,生计；供养
amused,adj.,被逗乐的
armchair,n.,扶手椅
aspirin,n.,阿司匹林
awful,adj.,糟糕的；很差的
baker,n.,面包师
bar,n.,酒吧；条；障碍
